,category,condition
1029,V35.9XXA,"Occup of 3whl mv inj in clsn w rail trn/veh in traf, init"
1030,V35.9XXD,"Occup of 3whl mv inj in clsn w rail trn/veh in traf, subs"
1031,V35.9XXS,"Occup of 3whl mv inj in clsn w rail trn/veh in traf, sqla"
1032,V36.0XXA,"Driver of 3whl mv inj in clsn w nonmtr veh nontraf, init"
1033,V36.0XXD,"Driver of 3whl mv inj in clsn w nonmtr veh nontraf, subs"
1034,V36.0XXS,"Driver of 3whl mv inj in clsn w nonmtr veh nontraf, sqla"
1035,V36.1XXA,"Pasngr in 3whl mv inj in clsn w nonmtr veh nontraf, init"
1036,V36.1XXD,"Pasngr in 3whl mv inj in clsn w nonmtr veh nontraf, subs"
1037,V36.1XXS,"Pasngr in 3whl mv inj in clsn w nonmtr veh nontraf, sqla"
1038,V36.2XXA,"Person outsd 3whl mv inj in clsn w nonmtr veh nontraf, init"
1039,V36.2XXD,"Person outsd 3whl mv inj in clsn w nonmtr veh nontraf, subs"
1040,V36.2XXS,"Person outsd 3whl mv inj in clsn w nonmtr veh nontraf, sqla"
1041,V36.3XXA,"Occup of 3whl mv inj in clsn w nonmtr vehicle nontraf, init"
1042,V36.3XXD,"Occup of 3whl mv inj in clsn w nonmtr vehicle nontraf, subs"
1043,V36.3XXS,"Occup of 3whl mv inj in clsn w nonmtr vehicle nontraf, sqla"
1044,V36.4XXA,"Prsn brd/alit a 3whl mv inj in clsn w nonmtr vehicle, init"
1045,V36.4XXD,"Prsn brd/alit a 3whl mv inj in clsn w nonmtr vehicle, subs"
1046,V36.4XXS,"Prsn brd/alit a 3whl mv inj in clsn w nonmtr vehicle, sqla"
1047,V36.5XXA,"Driver of 3whl mv inj in clsn w nonmtr veh in traf, init"
1048,V36.5XXD,"Driver of 3whl mv inj in clsn w nonmtr veh in traf, subs"
1049,V36.5XXS,"Driver of 3whl mv inj in clsn w nonmtr veh in traf, sqla"
1050,V36.6XXA,"Pasngr in 3whl mv inj in clsn w nonmtr veh in traf, init"
1051,V36.6XXD,"Pasngr in 3whl mv inj in clsn w nonmtr veh in traf, subs"
1052,V36.6XXS,"Pasngr in 3whl mv inj in clsn w nonmtr veh in traf, sqla"
1053,V36.7XXA,"Person outsd 3whl mv inj in clsn w nonmtr veh in traf, init"
1054,V36.7XXD,"Person outsd 3whl mv inj in clsn w nonmtr veh in traf, subs"
1055,V36.7XXS,"Person outsd 3whl mv inj in clsn w nonmtr veh in traf, sqla"
1056,V36.9XXA,"Occup of 3whl mv inj in clsn w nonmtr vehicle in traf, init"
1057,V36.9XXD,"Occup of 3whl mv inj in clsn w nonmtr vehicle in traf, subs"
1058,V36.9XXS,"Occup of 3whl mv inj in clsn w nonmtr vehicle in traf, sqla"
1059,V37.0XXA,"Drvr of 3whl mv inj in clsn w statnry object nontraf, init"
1060,V37.0XXD,"Drvr of 3whl mv inj in clsn w statnry object nontraf, subs"
1061,V37.0XXS,"Drvr of 3whl mv inj in clsn w statnry object nontraf, sqla"
1062,V37.1XXA,"Pasngr in 3whl mv inj in clsn w statnry obj nontraf, init"
1063,V37.1XXD,"Pasngr in 3whl mv inj in clsn w statnry obj nontraf, subs"
1064,V37.1XXS,"Pasngr in 3whl mv inj in clsn w statnry obj nontraf, sqla"
1065,V37.2XXA,"Prsn outsd 3whl mv inj in clsn w statnry obj nontraf, init"
1066,V37.2XXD,"Prsn outsd 3whl mv inj in clsn w statnry obj nontraf, subs"
1067,V37.2XXS,"Prsn outsd 3whl mv inj in clsn w statnry obj nontraf, sqla"
1068,V37.3XXA,"Occup of 3whl mv inj in clsn w statnry object nontraf, init"
1069,V37.3XXD,"Occup of 3whl mv inj in clsn w statnry object nontraf, subs"
1070,V37.3XXS,"Occup of 3whl mv inj in clsn w statnry object nontraf, sqla"
1071,V37.4XXA,"Prsn brd/alit a 3whl mv inj in clsn w statnry object, init"
1072,V37.4XXD,"Prsn brd/alit a 3whl mv inj in clsn w statnry object, subs"
1073,V37.4XXS,"Prsn brd/alit a 3whl mv inj in clsn w statnry object, sqla"
1074,V37.5XXA,"Drvr of 3whl mv inj in clsn w statnry object in traf, init"
1075,V37.5XXD,"Drvr of 3whl mv inj in clsn w statnry object in traf, subs"
1076,V37.5XXS,"Drvr of 3whl mv inj in clsn w statnry object in traf, sqla"
1077,V37.6XXA,"Pasngr in 3whl mv inj in clsn w statnry obj in traf, init"
1078,V37.6XXD,"Pasngr in 3whl mv inj in clsn w statnry obj in traf, subs"
1079,V37.6XXS,"Pasngr in 3whl mv inj in clsn w statnry obj in traf, sqla"
1080,V37.7XXA,"Prsn outsd 3whl mv inj in clsn w statnry obj in traf, init"
1081,V37.7XXD,"Prsn outsd 3whl mv inj in clsn w statnry obj in traf, subs"
1082,V37.7XXS,"Prsn outsd 3whl mv inj in clsn w statnry obj in traf, sqla"
1083,V37.9XXA,"Occup of 3whl mv inj in clsn w statnry object in traf, init"
1084,V37.9XXD,"Occup of 3whl mv inj in clsn w statnry object in traf, subs"
1085,V37.9XXS,"Occup of 3whl mv inj in clsn w statnry object in traf, sqla"
1086,V38.0XXA,"Driver of 3whl mv inj in nonclsn trnsp acc nontraf, init"
1087,V38.0XXD,"Driver of 3whl mv inj in nonclsn trnsp acc nontraf, subs"
1088,V38.0XXS,"Driver of 3whl mv inj in nonclsn trnsp acc nontraf, sequela"
1089,V38.1XXA,"Pasngr in 3whl mv inj in nonclsn trnsp acc nontraf, init"
1090,V38.1XXD,"Pasngr in 3whl mv inj in nonclsn trnsp acc nontraf, subs"
1091,V38.1XXS,"Pasngr in 3whl mv inj in nonclsn trnsp acc nontraf, sequela"
1092,V38.2XXA,"Person outsd 3whl mv inj in nonclsn trnsp acc nontraf, init"
1093,V38.2XXD,"Person outsd 3whl mv inj in nonclsn trnsp acc nontraf, subs"
1094,V38.2XXS,"Person outsd 3whl mv inj in nonclsn trnsp acc nontraf, sqla"
1095,V38.3XXA,"Occup of 3whl mv injured in nonclsn trnsp acc nontraf, init"
1096,V38.3XXD,"Occup of 3whl mv injured in nonclsn trnsp acc nontraf, subs"
1097,V38.3XXS,"Occup of 3whl mv inj in nonclsn trnsp acc nontraf, sequela"
1098,V38.4XXA,"Prsn brd/alit a 3whl mv injured in nonclsn trnsp acc, init"
1099,V38.4XXD,"Prsn brd/alit a 3whl mv injured in nonclsn trnsp acc, subs"
1100,V38.4XXS,"Prsn brd/alit a 3whl mv inj in nonclsn trnsp acc, sequela"
1101,V38.5XXA,"Driver of 3whl mv inj in nonclsn trnsp acc in traf, init"
1102,V38.5XXD,"Driver of 3whl mv inj in nonclsn trnsp acc in traf, subs"
1103,V38.5XXS,"Driver of 3whl mv inj in nonclsn trnsp acc in traf, sequela"
1104,V38.6XXA,"Pasngr in 3whl mv inj in nonclsn trnsp acc in traf, init"
1105,V38.6XXD,"Pasngr in 3whl mv inj in nonclsn trnsp acc in traf, subs"
1106,V38.6XXS,"Pasngr in 3whl mv inj in nonclsn trnsp acc in traf, sequela"
1107,V38.7XXA,"Person outsd 3whl mv inj in nonclsn trnsp acc in traf, init"
1108,V38.7XXD,"Person outsd 3whl mv inj in nonclsn trnsp acc in traf, subs"
1109,V38.7XXS,"Person outsd 3whl mv inj in nonclsn trnsp acc in traf, sqla"
1110,V38.9XXA,"Occup of 3whl mv injured in nonclsn trnsp acc in traf, init"
1111,V38.9XXD,"Occup of 3whl mv injured in nonclsn trnsp acc in traf, subs"
1112,V38.9XXS,"Occup of 3whl mv inj in nonclsn trnsp acc in traf, sequela"
1113,V39.00XA,"Driver of 3whl mv injured in clsn w unsp mv nontraf, init"
1114,V39.00XD,"Driver of 3whl mv injured in clsn w unsp mv nontraf, subs"
1115,V39.00XS,"Driver of 3whl mv inj in clsn w unsp mv nontraf, sequela"
1116,V39.09XA,"Driver of 3whl mv injured in clsn w oth mv nontraf, init"
1117,V39.09XD,"Driver of 3whl mv injured in clsn w oth mv nontraf, subs"
1118,V39.09XS,"Driver of 3whl mv injured in clsn w oth mv nontraf, sequela"
1119,V39.10XA,"Pasngr in 3whl mv injured in clsn w unsp mv nontraf, init"
1120,V39.10XD,"Pasngr in 3whl mv injured in clsn w unsp mv nontraf, subs"
1121,V39.10XS,"Pasngr in 3whl mv inj in clsn w unsp mv nontraf, sequela"
1122,V39.19XA,"Passenger in 3whl mv injured in clsn w oth mv nontraf, init"
1123,V39.19XD,"Passenger in 3whl mv injured in clsn w oth mv nontraf, subs"
1124,V39.19XS,"Pasngr in 3whl mv injured in clsn w oth mv nontraf, sequela"
1125,V39.20XA,"Occup of 3whl mv injured in clsn w unsp mv nontraf, init"
1126,V39.20XD,"Occup of 3whl mv injured in clsn w unsp mv nontraf, subs"
1127,V39.20XS,"Occup of 3whl mv injured in clsn w unsp mv nontraf, sequela"
1128,V39.29XA,"Occup of 3whl mv injured in clsn w oth mv nontraf, init"
1129,V39.29XD,"Occup of 3whl mv injured in clsn w oth mv nontraf, subs"
1130,V39.29XS,"Occup of 3whl mv injured in clsn w oth mv nontraf, sequela"
1131,V39.3XXA,"Occupant (driver) of 3whl mv injured in unsp nontraf, init"
1132,V39.3XXD,"Occupant (driver) of 3whl mv injured in unsp nontraf, subs"
1133,V39.3XXS,"Occupant of 3whl mv injured in unsp nontraf, sequela"
1134,V39.40XA,"Driver of 3whl mv injured in clsn w unsp mv in traf, init"
1135,V39.40XD,"Driver of 3whl mv injured in clsn w unsp mv in traf, subs"
1136,V39.40XS,"Driver of 3whl mv inj in clsn w unsp mv in traf, sequela"
1137,V39.49XA,"Driver of 3whl mv injured in clsn w oth mv in traf, init"
1138,V39.49XD,"Driver of 3whl mv injured in clsn w oth mv in traf, subs"
1139,V39.49XS,"Driver of 3whl mv injured in clsn w oth mv in traf, sequela"
1140,V39.50XA,"Pasngr in 3whl mv injured in clsn w unsp mv in traf, init"
1141,V39.50XD,"Pasngr in 3whl mv injured in clsn w unsp mv in traf, subs"
1142,V39.50XS,"Pasngr in 3whl mv inj in clsn w unsp mv in traf, sequela"
1143,V39.59XA,"Passenger in 3whl mv injured in clsn w oth mv in traf, init"
1144,V39.59XD,"Passenger in 3whl mv injured in clsn w oth mv in traf, subs"
1145,V39.59XS,"Pasngr in 3whl mv injured in clsn w oth mv in traf, sequela"
1146,V39.60XA,"Occup of 3whl mv injured in clsn w unsp mv in traf, init"
1147,V39.60XD,"Occup of 3whl mv injured in clsn w unsp mv in traf, subs"
1148,V39.60XS,"Occup of 3whl mv injured in clsn w unsp mv in traf, sequela"
1149,V39.69XA,"Occup of 3whl mv injured in clsn w oth mv in traf, init"
1150,V39.69XD,"Occup of 3whl mv injured in clsn w oth mv in traf, subs"
1151,V39.69XS,"Occup of 3whl mv injured in clsn w oth mv in traf, sequela"
1152,V39.81XA,"Occ of 3whl mv injured in trnsp acc w miltry vehicle, init"
1153,V39.81XD,"Occ of 3whl mv injured in trnsp acc w miltry vehicle, subs"
1154,V39.81XS,"Occ of 3whl mv inj in trnsp acc w miltry vehicle, sequela"
1155,V39.89XA,"Occupant (driver) of 3whl mv injured in oth trnsp acc, init"
1156,V39.89XD,"Occupant (driver) of 3whl mv injured in oth trnsp acc, subs"
1157,V39.89XS,"Occupant of 3whl mv injured in oth trnsp acc, sequela"
1158,V39.9XXA,"Occupant (driver) of 3whl mv injured in unsp traf, init"
1159,V39.9XXD,"Occupant (driver) of 3whl mv injured in unsp traf, subs"
1160,V39.9XXS,"Occupant (driver) of 3whl mv injured in unsp traf, sequela"
1161,V40.0XXA,"Car driver injured in collision w ped/anml nontraf, init"
1162,V40.0XXD,"Car driver injured in collision w ped/anml nontraf, subs"
1163,V40.0XXS,"Car driver injured in collision w ped/anml nontraf, sequela"
1164,V40.1XXA,"Car passenger injured in collision w ped/anml nontraf, init"
1165,V40.1XXD,"Car passenger injured in collision w ped/anml nontraf, subs"
1166,V40.1XXS,"Car passenger injured in clsn w ped/anml nontraf, sequela"
1167,V40.2XXA,"Person outside car injured in clsn w ped/anml nontraf, init"
1168,V40.2XXD,"Person outside car injured in clsn w ped/anml nontraf, subs"
1169,V40.2XXS,"Person outside car inj in clsn w ped/anml nontraf, sequela"
1170,V40.3XXA,"Unsp car occupant injured in clsn w ped/anml nontraf, init"
1171,V40.3XXD,"Unsp car occupant injured in clsn w ped/anml nontraf, subs"
1172,V40.3XXS,"Unsp car occ injured in clsn w ped/anml nontraf, sequela"
1173,V40.4XXA,"Prsn brd/alit a car injured in collision w ped/anml, init"
1174,V40.4XXD,"Prsn brd/alit a car injured in collision w ped/anml, subs"
1175,V40.4XXS,"Prsn brd/alit a car injured in collision w ped/anml, sequela"
1176,V40.5XXA,"Car driver injured in collision w ped/anml in traf, init"
1177,V40.5XXD,"Car driver injured in collision w ped/anml in traf, subs"
1178,V40.5XXS,"Car driver injured in collision w ped/anml in traf, sequela"
1179,V40.6XXA,"Car passenger injured in collision w ped/anml in traf, init"
1180,V40.6XXD,"Car passenger injured in collision w ped/anml in traf, subs"
1181,V40.6XXS,"Car passenger injured in clsn w ped/anml in traf, sequela"
1182,V40.7XXA,"Person outside car injured in clsn w ped/anml in traf, init"
1183,V40.7XXD,"Person outside car injured in clsn w ped/anml in traf, subs"
1184,V40.7XXS,"Person outside car inj in clsn w ped/anml in traf, sequela"
1185,V40.9XXA,"Unsp car occupant injured in clsn w ped/anml in traf, init"
1186,V40.9XXD,"Unsp car occupant injured in clsn w ped/anml in traf, subs"
1187,V40.9XXS,"Unsp car occ injured in clsn w ped/anml in traf, sequela"
1188,V41.0XXA,"Car driver injured in collision w pedal cycle nontraf, init"
1189,V41.0XXD,"Car driver injured in collision w pedal cycle nontraf, subs"
1190,V41.0XXS,"Car driver injured in collision w pedl cyc nontraf, sequela"
1191,V41.1XXA,"Car passenger injured in collision w pedl cyc nontraf, init"
1192,V41.1XXD,"Car passenger injured in collision w pedl cyc nontraf, subs"
1193,V41.1XXS,"Car passenger injured in clsn w pedl cyc nontraf, sequela"
1194,V41.2XXA,"Person outside car injured in clsn w pedl cyc nontraf, init"
1195,V41.2XXD,"Person outside car injured in clsn w pedl cyc nontraf, subs"
1196,V41.2XXS,"Person outside car inj in clsn w pedl cyc nontraf, sequela"
1197,V41.3XXA,"Unsp car occupant injured in clsn w pedl cyc nontraf, init"
1198,V41.3XXD,"Unsp car occupant injured in clsn w pedl cyc nontraf, subs"
1199,V41.3XXS,"Unsp car occ injured in clsn w pedl cyc nontraf, sequela"
1200,V41.4XXA,"Prsn brd/alit a car injured in collision w pedal cycle, init"
1201,V41.4XXD,"Prsn brd/alit a car injured in collision w pedal cycle, subs"
1202,V41.4XXS,"Prsn brd/alit a car injured in collision w pedl cyc, sequela"
1203,V41.5XXA,"Car driver injured in collision w pedal cycle in traf, init"
1204,V41.5XXD,"Car driver injured in collision w pedal cycle in traf, subs"
1205,V41.5XXS,"Car driver injured in collision w pedl cyc in traf, sequela"
1206,V41.6XXA,"Car passenger injured in collision w pedl cyc in traf, init"
1207,V41.6XXD,"Car passenger injured in collision w pedl cyc in traf, subs"
1208,V41.6XXS,"Car passenger injured in clsn w pedl cyc in traf, sequela"
1209,V41.7XXA,"Person outside car injured in clsn w pedl cyc in traf, init"
1210,V41.7XXD,"Person outside car injured in clsn w pedl cyc in traf, subs"
1211,V41.7XXS,"Person outside car inj in clsn w pedl cyc in traf, sequela"
1212,V41.9XXA,"Unsp car occupant injured in clsn w pedl cyc in traf, init"
1213,V41.9XXD,"Unsp car occupant injured in clsn w pedl cyc in traf, subs"
1214,V41.9XXS,"Unsp car occ injured in clsn w pedl cyc in traf, sequela"
1215,V42.0XXA,"Car driver injured in collision w 2/3whl mv nontraf, init"
1216,V42.0XXD,"Car driver injured in collision w 2/3whl mv nontraf, subs"
1217,V42.0XXS,"Car driver injured in clsn w 2/3whl mv nontraf, sequela"
1218,V42.1XXA,"Car passenger injured in clsn w 2/3whl mv nontraf, init"
1219,V42.1XXD,"Car passenger injured in clsn w 2/3whl mv nontraf, subs"
1220,V42.1XXS,"Car passenger injured in clsn w 2/3whl mv nontraf, sequela"
1221,V42.2XXA,"Person outside car inj in clsn w 2/3whl mv nontraf, init"
1222,V42.2XXD,"Person outside car inj in clsn w 2/3whl mv nontraf, subs"
1223,V42.2XXS,"Person outside car inj in clsn w 2/3whl mv nontraf, sequela"
1224,V42.3XXA,"Unsp car occupant injured in clsn w 2/3whl mv nontraf, init"
1225,V42.3XXD,"Unsp car occupant injured in clsn w 2/3whl mv nontraf, subs"
1226,V42.3XXS,"Unsp car occ injured in clsn w 2/3whl mv nontraf, sequela"
1227,V42.4XXA,"Prsn brd/alit a car injured in collision w 2/3whl mv, init"
1228,V42.4XXD,"Prsn brd/alit a car injured in collision w 2/3whl mv, subs"
1229,V42.4XXS,"Prsn brd/alit a car injured in clsn w 2/3whl mv, sequela"
1230,V42.5XXA,"Car driver injured in collision w 2/3whl mv in traf, init"
1231,V42.5XXD,"Car driver injured in collision w 2/3whl mv in traf, subs"
1232,V42.5XXS,"Car driver injured in clsn w 2/3whl mv in traf, sequela"
1233,V42.6XXA,"Car passenger injured in clsn w 2/3whl mv in traf, init"
1234,V42.6XXD,"Car passenger injured in clsn w 2/3whl mv in traf, subs"
1235,V42.6XXS,"Car passenger injured in clsn w 2/3whl mv in traf, sequela"
1236,V42.7XXA,"Person outside car inj in clsn w 2/3whl mv in traf, init"
1237,V42.7XXD,"Person outside car inj in clsn w 2/3whl mv in traf, subs"
1238,V42.7XXS,"Person outside car inj in clsn w 2/3whl mv in traf, sequela"
1239,V42.9XXA,"Unsp car occupant injured in clsn w 2/3whl mv in traf, init"
1240,V42.9XXD,"Unsp car occupant injured in clsn w 2/3whl mv in traf, subs"
1241,V42.9XXS,"Unsp car occ injured in clsn w 2/3whl mv in traf, sequela"
1242,V43.01XA,"Car driver injured in collision w SUV nontraf, init"
1243,V43.01XD,"Car driver injured in collision w SUV nontraf, subs"
1244,V43.01XS,"Car driver injured in collision w SUV nontraf, sequela"
1245,V43.02XA,"Car driver injured in collision w car nontraf, init"
1246,V43.02XD,"Car driver injured in collision w car nontraf, subs"
1247,V43.02XS,"Car driver injured in collision w car nontraf, sequela"
1248,V43.03XA,"Car driver injured in clsn w pickup truck nontraf, init"
1249,V43.03XD,"Car driver injured in clsn w pickup truck nontraf, subs"
1250,V43.03XS,"Car driver injured in clsn w pickup truck nontraf, sequela"
1251,V43.04XA,"Car driver injured in collision w van nontraf, init"
1252,V43.04XD,"Car driver injured in collision w van nontraf, subs"
1253,V43.04XS,"Car driver injured in collision w van nontraf, sequela"
1254,V43.11XA,"Car passenger injured in collision w SUV nontraf, init"
1255,V43.11XD,"Car passenger injured in collision w SUV nontraf, subs"
1256,V43.11XS,"Car passenger injured in collision w SUV nontraf, sequela"
1257,V43.12XA,"Car passenger injured in collision w car nontraf, init"
1258,V43.12XD,"Car passenger injured in collision w car nontraf, subs"
1259,V43.12XS,"Car passenger injured in collision w car nontraf, sequela"
1260,V43.13XA,"Car pasngr injured in clsn with pickup truck nontraf, init  UPDATED CODE"
1261,V43.13XD,"Car pasngr injured in clsn with pickup truck nontraf, subs  UPDATED CODE"
1262,V43.13XS,"Car pasngr inj in clsn with pickup truck nontraf, sequela  UPDATED CODE"
1263,V43.14XA,"Car passenger injured in collision w van nontraf, init"
1264,V43.14XD,"Car passenger injured in collision w van nontraf, subs"
1265,V43.14XS,"Car passenger injured in collision w van nontraf, sequela"
1266,V43.21XA,"Person outside car injured in collision w SUV nontraf, init"
1267,V43.21XD,"Person outside car injured in collision w SUV nontraf, subs"
1268,V43.21XS,"Person outside car injured in clsn w SUV nontraf, sequela"
1269,V43.22XA,"Person outside car injured in collision w car nontraf, init"
1270,V43.22XD,"Person outside car injured in collision w car nontraf, subs"
1271,V43.22XS,"Person outside car injured in clsn w car nontraf, sequela"
1272,V43.23XA,"Person outside car inj in clsn w pickup truck nontraf, init"
1273,V43.23XD,"Person outside car inj in clsn w pickup truck nontraf, subs"
1274,V43.23XS,"Person outsd car inj in clsn w pkup truck nontraf, sequela"
1275,V43.24XA,"Person outside car injured in collision w van nontraf, init"
1276,V43.24XD,"Person outside car injured in collision w van nontraf, subs"
1277,V43.24XS,"Person outside car injured in clsn w van nontraf, sequela"
1278,V43.31XA,"Unsp car occupant injured in collision w SUV nontraf, init"
1279,V43.31XD,"Unsp car occupant injured in collision w SUV nontraf, subs"
1280,V43.31XS,"Unsp car occupant injured in clsn w SUV nontraf, sequela"
1281,V43.32XA,"Unsp car occupant injured in collision w car nontraf, init"
1282,V43.32XD,"Unsp car occupant injured in collision w car nontraf, subs"
1283,V43.32XS,"Unsp car occupant injured in clsn w car nontraf, sequela"
1284,V43.33XA,"Unsp car occ injured in clsn w pickup truck nontraf, init"
1285,V43.33XD,"Unsp car occ injured in clsn w pickup truck nontraf, subs"
1286,V43.33XS,"Unsp car occ inj in clsn w pickup truck nontraf, sequela"
1287,V43.34XA,"Unsp car occupant injured in collision w van nontraf, init"
1288,V43.34XD,"Unsp car occupant injured in collision w van nontraf, subs"
1289,V43.34XS,"Unsp car occupant injured in clsn w van nontraf, sequela"
1290,V43.41XA,"Prsn brd/alit a car injured in collision w SUV, init"
1291,V43.41XD,"Prsn brd/alit a car injured in collision w SUV, subs"
1292,V43.41XS,"Prsn brd/alit a car injured in collision w SUV, sequela"
1293,V43.42XA,"Prsn brd/alit a car injured in collision w car, init"
1294,V43.42XD,"Prsn brd/alit a car injured in collision w car, subs"
1295,V43.42XS,"Prsn brd/alit a car injured in collision w car, sequela"
1296,V43.43XA,"Prsn brd/alit a car injured in clsn w pickup truck, init"
1297,V43.43XD,"Prsn brd/alit a car injured in clsn w pickup truck, subs"
1298,V43.43XS,"Prsn brd/alit a car injured in clsn w pickup truck, sequela"
1299,V43.44XA,"Prsn brd/alit a car injured in collision w van, init"
1300,V43.44XD,"Prsn brd/alit a car injured in collision w van, subs"
1301,V43.44XS,"Prsn brd/alit a car injured in collision w van, sequela"
1302,V43.51XA,"Car driver injured in collision w SUV in traf, init"
1303,V43.51XD,"Car driver injured in collision w SUV in traf, subs"
1304,V43.51XS,"Car driver injured in collision w SUV in traf, sequela"
1305,V43.52XA,"Car driver injured in collision w car in traf, init"
1306,V43.52XD,"Car driver injured in collision w car in traf, subs"
1307,V43.52XS,"Car driver injured in collision w car in traf, sequela"
1308,V43.53XA,"Car driver injured in clsn w pickup truck in traf, init"
1309,V43.53XD,"Car driver injured in clsn w pickup truck in traf, subs"
1310,V43.53XS,"Car driver injured in clsn w pickup truck in traf, sequela"
1311,V43.54XA,"Car driver injured in collision w van in traf, init"
1312,V43.54XD,"Car driver injured in collision w van in traf, subs"
1313,V43.54XS,"Car driver injured in collision w van in traf, sequela"
1314,V43.61XA,"Car passenger injured in collision w SUV in traf, init"
1315,V43.61XD,"Car passenger injured in collision w SUV in traf, subs"
1316,V43.61XS,"Car passenger injured in collision w SUV in traf, sequela"
1317,V43.62XA,"Car passenger injured in collision w car in traf, init"
1318,V43.62XD,"Car passenger injured in collision w car in traf, subs"
1319,V43.62XS,"Car passenger injured in collision w car in traf, sequela"
1320,V43.63XA,"Car passenger injured in clsn w pickup truck in traf, init"
1321,V43.63XD,"Car passenger injured in clsn w pickup truck in traf, subs"
1322,V43.63XS,"Car pasngr injured in clsn w pickup truck in traf, sequela"
1323,V43.64XA,"Car passenger injured in collision w van in traf, init"
1324,V43.64XD,"Car passenger injured in collision w van in traf, subs"
1325,V43.64XS,"Car passenger injured in collision w van in traf, sequela"
1326,V43.71XA,"Person outside car injured in collision w SUV in traf, init"
1327,V43.71XD,"Person outside car injured in collision w SUV in traf, subs"
1328,V43.71XS,"Person outside car injured in clsn w SUV in traf, sequela"
1329,V43.72XA,"Person outside car injured in collision w car in traf, init"
1330,V43.72XD,"Person outside car injured in collision w car in traf, subs"
1331,V43.72XS,"Person outside car injured in clsn w car in traf, sequela"
1332,V43.73XA,"Person outside car inj in clsn w pickup truck in traf, init"
1333,V43.73XD,"Person outside car inj in clsn w pickup truck in traf, subs"
1334,V43.73XS,"Person outsd car inj in clsn w pkup truck in traf, sequela"
1335,V43.74XA,"Person outside car injured in collision w van in traf, init"
1336,V43.74XD,"Person outside car injured in collision w van in traf, subs"
1337,V43.74XS,"Person outside car injured in clsn w van in traf, sequela"
1338,V43.91XA,"Unsp car occupant injured in collision w SUV in traf, init"
1339,V43.91XD,"Unsp car occupant injured in collision w SUV in traf, subs"
1340,V43.91XS,"Unsp car occupant injured in clsn w SUV in traf, sequela"
1341,V43.92XA,"Unsp car occupant injured in collision w car in traf, init"
1342,V43.92XD,"Unsp car occupant injured in collision w car in traf, subs"
1343,V43.92XS,"Unsp car occupant injured in clsn w car in traf, sequela"
1344,V43.93XA,"Unsp car occ injured in clsn w pickup truck in traf, init"
1345,V43.93XD,"Unsp car occ injured in clsn w pickup truck in traf, subs"
1346,V43.93XS,"Unsp car occ inj in clsn w pickup truck in traf, sequela"
1347,V43.94XA,"Unsp car occupant injured in collision w van in traf, init"
1348,V43.94XD,"Unsp car occupant injured in collision w van in traf, subs"
1349,V43.94XS,"Unsp car occupant injured in clsn w van in traf, sequela"
1350,V44.0XXA,"Car driver injured in collision w hv veh nontraf, init"
1351,V44.0XXD,"Car driver injured in collision w hv veh nontraf, subs"
1352,V44.0XXS,"Car driver injured in collision w hv veh nontraf, sequela"
1353,V44.1XXA,"Car passenger injured in collision w hv veh nontraf, init"
1354,V44.1XXD,"Car passenger injured in collision w hv veh nontraf, subs"
1355,V44.1XXS,"Car passenger injured in collision w hv veh nontraf, sequela"
1356,V44.2XXA,"Person outside car injured in clsn w hv veh nontraf, init"
1357,V44.2XXD,"Person outside car injured in clsn w hv veh nontraf, subs"
1358,V44.2XXS,"Person outside car injured in clsn w hv veh nontraf, sequela"
1359,V44.3XXA,"Unsp car occupant injured in clsn w hv veh nontraf, init"
1360,V44.3XXD,"Unsp car occupant injured in clsn w hv veh nontraf, subs"
1361,V44.3XXS,"Unsp car occupant injured in clsn w hv veh nontraf, sequela"
1362,V44.4XXA,"Prsn brd/alit a car injured in collision w hv veh, init"
1363,V44.4XXD,"Prsn brd/alit a car injured in collision w hv veh, subs"
1364,V44.4XXS,"Prsn brd/alit a car injured in collision w hv veh, sequela"
1365,V44.5XXA,"Car driver injured in collision w hv veh in traf, init"
1366,V44.5XXD,"Car driver injured in collision w hv veh in traf, subs"
1367,V44.5XXS,"Car driver injured in collision w hv veh in traf, sequela"
1368,V44.6XXA,"Car passenger injured in collision w hv veh in traf, init"
1369,V44.6XXD,"Car passenger injured in collision w hv veh in traf, subs"
1370,V44.6XXS,"Car passenger injured in collision w hv veh in traf, sequela"
1371,V44.7XXA,"Person outside car injured in clsn w hv veh in traf, init"
1372,V44.7XXD,"Person outside car injured in clsn w hv veh in traf, subs"
1373,V44.7XXS,"Person outside car injured in clsn w hv veh in traf, sequela"
1374,V44.9XXA,"Unsp car occupant injured in clsn w hv veh in traf, init"
1375,V44.9XXD,"Unsp car occupant injured in clsn w hv veh in traf, subs"
1376,V44.9XXS,"Unsp car occupant injured in clsn w hv veh in traf, sequela"
1377,V45.0XXA,"Car driver injured in collision w rail trn/veh nontraf, init"
1378,V45.0XXD,"Car driver injured in collision w rail trn/veh nontraf, subs"
1379,V45.0XXS,"Car driver injured in clsn w rail trn/veh nontraf, sequela"
1380,V45.1XXA,"Car passenger injured in clsn w rail trn/veh nontraf, init"
1381,V45.1XXD,"Car passenger injured in clsn w rail trn/veh nontraf, subs"
1382,V45.1XXS,"Car pasngr injured in clsn w rail trn/veh nontraf, sequela"
1383,V45.2XXA,"Person outside car inj in clsn w rail trn/veh nontraf, init"
1384,V45.2XXD,"Person outside car inj in clsn w rail trn/veh nontraf, subs"
1385,V45.2XXS,"Person outsd car inj in clsn w rail trn/veh nontraf, sequela"
