,category,condition
109,V00.381D,"Fall from flatbottomed pedestrian conveyance, subs encntr"
110,V00.381S,"Fall from other flatbottomed pedestrian conveyance, sequela"
111,V00.382A,"Ped on flatbottomed ped convey collid w statnry obj, init"
112,V00.382D,"Ped on flatbottomed ped convey collid w statnry obj, subs"
113,V00.382S,"Ped on flatbottomed ped convey collid w statnry obj, sqla"
114,V00.388A,"Oth accident on flatbottomed pedestrian conveyance, init"
115,V00.388D,"Oth accident on flatbottomed pedestrian conveyance, subs"
116,V00.388S,"Oth accident on flatbottomed pedestrian conveyance, sequela"
117,V00.811A,"Fall from moving wheelchair (powered), initial encounter"
118,V00.811D,"Fall from moving wheelchair (powered), subsequent encounter"
119,V00.811S,"Fall from moving wheelchair (powered), sequela"
120,V00.812A,"Wheelchair (powered) colliding w stationary object, init"
121,V00.812D,"Wheelchair (powered) colliding w stationary object, subs"
122,V00.812S,"Wheelchair (powered) colliding w stationary object, sequela"
123,V00.818A,"Other accident with wheelchair (powered), initial encounter"
124,V00.818D,"Other accident with wheelchair (powered), subs encntr"
125,V00.818S,"Other accident with wheelchair (powered), sequela"
126,V00.821A,"Fall from baby stroller, initial encounter"
127,V00.821D,"Fall from baby stroller, subsequent encounter"
128,V00.821S,"Fall from baby stroller, sequela"
129,V00.822A,"Baby stroller colliding with stationary object, init"
130,V00.822D,"Baby stroller colliding with stationary object, subs"
131,V00.822S,"Baby stroller colliding with stationary object, sequela"
132,V00.828A,"Other accident with baby stroller, initial encounter"
133,V00.828D,"Other accident with baby stroller, subsequent encounter"
134,V00.828S,"Other accident with baby stroller, sequela"
135,V00.831A,"Fall from motorized mobility scooter, initial encounter"
136,V00.831D,"Fall from motorized mobility scooter, subsequent encounter"
137,V00.831S,"Fall from motorized mobility scooter, sequela"
138,V00.832A,"Motorized mobility scooter colliding w statnry obj, init"
139,V00.832D,"Motorized mobility scooter colliding w statnry obj, subs"
140,V00.832S,"Motorized mobility scooter colliding w statnry obj, sequela"
141,V00.838A,"Other accident with motorized mobility scooter, init encntr"
142,V00.838D,"Other accident with motorized mobility scooter, subs encntr"
143,V00.838S,"Other accident with motorized mobility scooter, sequela"
144,V00.891A,"Fall from other pedestrian conveyance, initial encounter"
145,V00.891D,"Fall from other pedestrian conveyance, subsequent encounter"
146,V00.891S,"Fall from other pedestrian conveyance, sequela"
147,V00.892A,"Ped on oth pedestrian convey colliding w statnry obj, init"
148,V00.892D,"Ped on oth pedestrian convey colliding w statnry obj, subs"
149,V00.892S,"Ped on oth ped convey colliding w statnry obj, sequela"
150,V00.898A,"Other accident on other pedestrian conveyance, init encntr"
151,V00.898D,"Other accident on other pedestrian conveyance, subs encntr"
152,V00.898S,"Other accident on other pedestrian conveyance, sequela"
153,V01.00XA,"Ped on foot injured in collision w pedl cyc nontraf, init"
154,V01.00XD,"Ped on foot injured in collision w pedl cyc nontraf, subs"
155,V01.00XS,"Ped on foot injured in collision w pedl cyc nontraf, sequela"
156,V01.01XA,"Ped on rolrskt injured in clsn w pedl cyc nontraf, init"
157,V01.01XD,"Ped on rolrskt injured in clsn w pedl cyc nontraf, subs"
158,V01.01XS,"Ped on rolrskt injured in clsn w pedl cyc nontraf, sequela"
159,V01.02XA,"Ped on sktbrd injured in collision w pedl cyc nontraf, init"
160,V01.02XD,"Ped on sktbrd injured in collision w pedl cyc nontraf, subs"
161,V01.02XS,"Ped on sktbrd injured in clsn w pedl cyc nontraf, sequela"
162,V01.09XA,"Ped w convey injured in collision w pedl cyc nontraf, init"
163,V01.09XD,"Ped w convey injured in collision w pedl cyc nontraf, subs"
164,V01.09XS,"Ped w convey injured in clsn w pedl cyc nontraf, sequela"
165,V01.10XA,"Ped on foot injured in collision w pedl cyc in traf, init"
166,V01.10XD,"Ped on foot injured in collision w pedl cyc in traf, subs"
167,V01.10XS,"Ped on foot injured in collision w pedl cyc in traf, sequela"
168,V01.11XA,"Ped on rolrskt injured in clsn w pedl cyc in traf, init"
169,V01.11XD,"Ped on rolrskt injured in clsn w pedl cyc in traf, subs"
170,V01.11XS,"Ped on rolrskt injured in clsn w pedl cyc in traf, sequela"
171,V01.12XA,"Ped on sktbrd injured in collision w pedl cyc in traf, init"
172,V01.12XD,"Ped on sktbrd injured in collision w pedl cyc in traf, subs"
173,V01.12XS,"Ped on sktbrd injured in clsn w pedl cyc in traf, sequela"
174,V01.19XA,"Ped w convey injured in collision w pedl cyc in traf, init"
175,V01.19XD,"Ped w convey injured in collision w pedl cyc in traf, subs"
176,V01.19XS,"Ped w convey injured in clsn w pedl cyc in traf, sequela"
177,V01.90XA,"Ped on foot injured in collision w pedl cyc, unsp, init"
178,V01.90XD,"Ped on foot injured in collision w pedl cyc, unsp, subs"
179,V01.90XS,"Ped on foot injured in collision w pedl cyc, unsp, sequela"
180,V01.91XA,"Ped on rolrskt injured in collision w pedl cyc, unsp, init"
181,V01.91XD,"Ped on rolrskt injured in collision w pedl cyc, unsp, subs"
182,V01.91XS,"Ped on rolrskt injured in clsn w pedl cyc, unsp, sequela"
183,V01.92XA,"Ped on sktbrd injured in collision w pedl cyc, unsp, init"
184,V01.92XD,"Ped on sktbrd injured in collision w pedl cyc, unsp, subs"
185,V01.92XS,"Ped on sktbrd injured in collision w pedl cyc, unsp, sequela"
186,V01.99XA,"Ped w convey injured in collision w pedl cyc, unsp, init"
187,V01.99XD,"Ped w convey injured in collision w pedl cyc, unsp, subs"
188,V01.99XS,"Ped w convey injured in collision w pedl cyc, unsp, sequela"
189,V02.00XA,"Ped on foot injured in collision w 2/3whl mv nontraf, init"
190,V02.00XD,"Ped on foot injured in collision w 2/3whl mv nontraf, subs"
191,V02.00XS,"Ped on foot injured in clsn w 2/3whl mv nontraf, sequela"
192,V02.01XA,"Ped on rolrskt injured in clsn w 2/3whl mv nontraf, init"
193,V02.01XD,"Ped on rolrskt injured in clsn w 2/3whl mv nontraf, subs"
194,V02.01XS,"Ped on rolrskt inj in clsn w 2/3whl mv nontraf, sequela"
195,V02.02XA,"Ped on sktbrd injured in clsn w 2/3whl mv nontraf, init"
196,V02.02XD,"Ped on sktbrd injured in clsn w 2/3whl mv nontraf, subs"
197,V02.02XS,"Ped on sktbrd injured in clsn w 2/3whl mv nontraf, sequela"
198,V02.09XA,"Ped w convey injured in collision w 2/3whl mv nontraf, init"
199,V02.09XD,"Ped w convey injured in collision w 2/3whl mv nontraf, subs"
200,V02.09XS,"Ped w convey injured in clsn w 2/3whl mv nontraf, sequela"
201,V02.10XA,"Ped on foot injured in collision w 2/3whl mv in traf, init"
202,V02.10XD,"Ped on foot injured in collision w 2/3whl mv in traf, subs"
203,V02.10XS,"Ped on foot injured in clsn w 2/3whl mv in traf, sequela"
204,V02.11XA,"Ped on rolrskt injured in clsn w 2/3whl mv in traf, init"
205,V02.11XD,"Ped on rolrskt injured in clsn w 2/3whl mv in traf, subs"
206,V02.11XS,"Ped on rolrskt inj in clsn w 2/3whl mv in traf, sequela"
207,V02.12XA,"Ped on sktbrd injured in clsn w 2/3whl mv in traf, init"
208,V02.12XD,"Ped on sktbrd injured in clsn w 2/3whl mv in traf, subs"
209,V02.12XS,"Ped on sktbrd injured in clsn w 2/3whl mv in traf, sequela"
210,V02.19XA,"Ped w convey injured in collision w 2/3whl mv in traf, init"
211,V02.19XD,"Ped w convey injured in collision w 2/3whl mv in traf, subs"
212,V02.19XS,"Ped w convey injured in clsn w 2/3whl mv in traf, sequela"
213,V02.90XA,"Ped on foot injured in collision w 2/3whl mv, unsp, init"
214,V02.90XD,"Ped on foot injured in collision w 2/3whl mv, unsp, subs"
215,V02.90XS,"Ped on foot injured in collision w 2/3whl mv, unsp, sequela"
216,V02.91XA,"Ped on rolrskt injured in clsn w 2/3whl mv, unsp, init"
217,V02.91XD,"Ped on rolrskt injured in clsn w 2/3whl mv, unsp, subs"
218,V02.91XS,"Ped on rolrskt injured in clsn w 2/3whl mv, unsp, sequela"
219,V02.92XA,"Ped on sktbrd injured in collision w 2/3whl mv, unsp, init"
220,V02.92XD,"Ped on sktbrd injured in collision w 2/3whl mv, unsp, subs"
221,V02.92XS,"Ped on sktbrd injured in clsn w 2/3whl mv, unsp, sequela"
222,V02.99XA,"Ped w convey injured in collision w 2/3whl mv, unsp, init"
223,V02.99XD,"Ped w convey injured in collision w 2/3whl mv, unsp, subs"
224,V02.99XS,"Ped w convey injured in clsn w 2/3whl mv, unsp, sequela"
225,V03.00XA,"Ped on foot injured pickup truck, pkup/van nontraf, init"
226,V03.00XD,"Ped on foot injured pickup truck, pkup/van nontraf, subs"
227,V03.00XS,"Ped on foot inj pickup truck, pkup/van nontraf, sequela"
228,V03.01XA,"Ped on rolrskt inj pickup truck, pkup/van nontraf, init"
229,V03.01XD,"Ped on rolrskt inj pickup truck, pkup/van nontraf, subs"
230,V03.01XS,"Ped on rolrskt inj pkup truck, pkup/van nontraf, sequela"
231,V03.02XA,"Ped on sktbrd injured pickup truck, pkup/van nontraf, init"
232,V03.02XD,"Ped on sktbrd injured pickup truck, pkup/van nontraf, subs"
233,V03.02XS,"Ped on sktbrd inj pickup truck, pkup/van nontraf, sequela"
234,V03.09XA,"Ped w convey injured pickup truck, pkup/van nontraf, init"
235,V03.09XD,"Ped w convey injured pickup truck, pkup/van nontraf, subs"
236,V03.09XS,"Ped w convey inj pickup truck, pkup/van nontraf, sequela"
237,V03.10XA,"Ped on foot injured pickup truck, pkup/van in traf, init"
238,V03.10XD,"Ped on foot injured pickup truck, pkup/van in traf, subs"
239,V03.10XS,"Ped on foot inj pickup truck, pkup/van in traf, sequela"
240,V03.11XA,"Ped on rolrskt inj pickup truck, pkup/van in traf, init"
241,V03.11XD,"Ped on rolrskt inj pickup truck, pkup/van in traf, subs"
242,V03.11XS,"Ped on rolrskt inj pkup truck, pkup/van in traf, sequela"
243,V03.12XA,"Ped on sktbrd injured pickup truck, pkup/van in traf, init"
244,V03.12XD,"Ped on sktbrd injured pickup truck, pkup/van in traf, subs"
245,V03.12XS,"Ped on sktbrd inj pickup truck, pkup/van in traf, sequela"
246,V03.19XA,"Ped w convey injured pickup truck, pkup/van in traf, init"
247,V03.19XD,"Ped w convey injured pickup truck, pkup/van in traf, subs"
248,V03.19XS,"Ped w convey inj pickup truck, pkup/van in traf, sequela"
249,V03.90XA,"Ped on foot injured pickup truck, pkup/van, unsp, init"
