,category,condition
386,T56.3X1S,"Toxic effect of cadmium and its compounds, acc, sequela"
387,T56.3X2A,"Toxic effect of cadmium and its compounds, selfharm, init"
388,T56.3X2D,"Toxic effect of cadmium and its compounds, selfharm, subs"
389,T56.3X2S,"Toxic effect of cadmium and its compnd, selfharm, sequela"
390,T56.3X3A,"Toxic effect of cadmium and its compounds, assault, init"
391,T56.3X3D,"Toxic effect of cadmium and its compounds, assault, subs"
392,T56.3X3S,"Toxic effect of cadmium and its compounds, assault, sequela"
393,T56.3X4A,"Toxic effect of cadmium and its compounds, undet, init"
394,T56.3X4D,"Toxic effect of cadmium and its compounds, undet, subs"
395,T56.3X4S,"Toxic effect of cadmium and its compounds, undet, sequela"
396,T56.4X1A,"Toxic effect of copper and its compounds, accidental, init"
397,T56.4X1D,"Toxic effect of copper and its compounds, accidental, subs"
398,T56.4X1S,"Toxic effect of copper and its compounds, acc, sequela"
399,T56.4X2A,"Toxic effect of copper and its compounds, selfharm, init"
400,T56.4X2D,"Toxic effect of copper and its compounds, selfharm, subs"
401,T56.4X2S,"Toxic effect of copper and its compounds, selfharm, sequela"
402,T56.4X3A,"Toxic effect of copper and its compounds, assault, init"
403,T56.4X3D,"Toxic effect of copper and its compounds, assault, subs"
404,T56.4X3S,"Toxic effect of copper and its compounds, assault, sequela"
405,T56.4X4A,"Toxic effect of copper and its compounds, undetermined, init"
406,T56.4X4D,"Toxic effect of copper and its compounds, undetermined, subs"
407,T56.4X4S,"Toxic effect of copper and its compounds, undet, sequela"
408,T56.5X1A,"Toxic effect of zinc and its compounds, accidental, init"
409,T56.5X1D,"Toxic effect of zinc and its compounds, accidental, subs"
410,T56.5X1S,"Toxic effect of zinc and its compounds, accidental, sequela"
411,T56.5X2A,"Toxic effect of zinc and its compounds, selfharm, init"
412,T56.5X2D,"Toxic effect of zinc and its compounds, selfharm, subs"
413,T56.5X2S,"Toxic effect of zinc and its compounds, selfharm, sequela"
414,T56.5X3A,"Toxic effect of zinc and its compounds, assault, init encntr"
415,T56.5X3D,"Toxic effect of zinc and its compounds, assault, subs encntr"
416,T56.5X3S,"Toxic effect of zinc and its compounds, assault, sequela"
417,T56.5X4A,"Toxic effect of zinc and its compounds, undetermined, init"
418,T56.5X4D,"Toxic effect of zinc and its compounds, undetermined, subs"
419,T56.5X4S,"Toxic effect of zinc and its compounds, undet, sequela"
420,T56.6X1A,"Toxic effect of tin and its compounds, accidental, init"
421,T56.6X1D,"Toxic effect of tin and its compounds, accidental, subs"
422,T56.6X1S,"Toxic effect of tin and its compounds, accidental, sequela"
423,T56.6X2A,"Toxic effect of tin and its compounds, selfharm, init"
424,T56.6X2D,"Toxic effect of tin and its compounds, selfharm, subs"
425,T56.6X2S,"Toxic effect of tin and its compounds, selfharm, sequela"
426,T56.6X3A,"Toxic effect of tin and its compounds, assault, init encntr"
427,T56.6X3D,"Toxic effect of tin and its compounds, assault, subs encntr"
428,T56.6X3S,"Toxic effect of tin and its compounds, assault, sequela"
429,T56.6X4A,"Toxic effect of tin and its compounds, undetermined, init"
430,T56.6X4D,"Toxic effect of tin and its compounds, undetermined, subs"
431,T56.6X4S,"Toxic effect of tin and its compounds, undetermined, sequela"
432,T56.7X1A,"Toxic effect of beryllium and its compounds, acc, init"
433,T56.7X1D,"Toxic effect of beryllium and its compounds, acc, subs"
434,T56.7X1S,"Toxic effect of beryllium and its compounds, acc, sequela"
435,T56.7X2A,"Toxic effect of beryllium and its compounds, selfharm, init"
436,T56.7X2D,"Toxic effect of beryllium and its compounds, selfharm, subs"
437,T56.7X2S,"Toxic effect of beryllium and its compnd, selfharm, sequela"
438,T56.7X3A,"Toxic effect of beryllium and its compounds, assault, init"
439,T56.7X3D,"Toxic effect of beryllium and its compounds, assault, subs"
440,T56.7X3S,"Toxic effect of beryllium and its compnd, assault, sequela"
441,T56.7X4A,"Toxic effect of beryllium and its compounds, undet, init"
442,T56.7X4D,"Toxic effect of beryllium and its compounds, undet, subs"
443,T56.7X4S,"Toxic effect of beryllium and its compounds, undet, sequela"
444,T56.811A,"Toxic effect of thallium, accidental (unintentional), init"
445,T56.811D,"Toxic effect of thallium, accidental (unintentional), subs"
446,T56.811S,"Toxic effect of thallium, accidental, sequela"
447,T56.812A,"Toxic effect of thallium, intentional selfharm, init encntr"
448,T56.812D,"Toxic effect of thallium, intentional selfharm, subs encntr"
449,T56.812S,"Toxic effect of thallium, intentional selfharm, sequela"
450,T56.813A,"Toxic effect of thallium, assault, initial encounter"
451,T56.813D,"Toxic effect of thallium, assault, subsequent encounter"
452,T56.813S,"Toxic effect of thallium, assault, sequela"
453,T56.814A,"Toxic effect of thallium, undetermined, initial encounter"
454,T56.814D,"Toxic effect of thallium, undetermined, subsequent encounter"
455,T56.814S,"Toxic effect of thallium, undetermined, sequela"
456,T56.891A,"Toxic effect of oth metals, accidental (unintentional), init"
457,T56.891D,"Toxic effect of oth metals, accidental (unintentional), subs"
458,T56.891S,"Toxic effect of metals, accidental (unintentional), sequela"
459,T56.892A,"Toxic effect of oth metals, intentional selfharm, init"
460,T56.892D,"Toxic effect of oth metals, intentional selfharm, subs"
461,T56.892S,"Toxic effect of other metals, intentional selfharm, sequela"
462,T56.893A,"Toxic effect of other metals, assault, initial encounter"
463,T56.893D,"Toxic effect of other metals, assault, subsequent encounter"
464,T56.893S,"Toxic effect of other metals, assault, sequela"
465,T56.894A,"Toxic effect of other metals, undetermined, init encntr"
466,T56.894D,"Toxic effect of other metals, undetermined, subs encntr"
467,T56.894S,"Toxic effect of other metals, undetermined, sequela"
468,T56.91XA,"Toxic effect of unsp metal, accidental (unintentional), init"
469,T56.91XD,"Toxic effect of unsp metal, accidental (unintentional), subs"
470,T56.91XS,"Toxic effect of unsp metal, accidental, sequela"
471,T56.92XA,"Toxic effect of unsp metal, intentional selfharm, init"
472,T56.92XD,"Toxic effect of unsp metal, intentional selfharm, subs"
473,T56.92XS,"Toxic effect of unsp metal, intentional selfharm, sequela"
474,T56.93XA,"Toxic effect of unspecified metal, assault, init encntr"
475,T56.93XD,"Toxic effect of unspecified metal, assault, subs encntr"
476,T56.93XS,"Toxic effect of unspecified metal, assault, sequela"
477,T56.94XA,"Toxic effect of unspecified metal, undetermined, init encntr"
478,T56.94XD,"Toxic effect of unspecified metal, undetermined, subs encntr"
479,T56.94XS,"Toxic effect of unspecified metal, undetermined, sequela"
480,T57.0X1A,"Toxic effect of arsenic and its compounds, accidental, init"
481,T57.0X1D,"Toxic effect of arsenic and its compounds, accidental, subs"
482,T57.0X1S,"Toxic effect of arsenic and its compounds, acc, sequela"
483,T57.0X2A,"Toxic effect of arsenic and its compounds, selfharm, init"
484,T57.0X2D,"Toxic effect of arsenic and its compounds, selfharm, subs"
485,T57.0X2S,"Toxic effect of arsenic and its compnd, selfharm, sequela"
486,T57.0X3A,"Toxic effect of arsenic and its compounds, assault, init"
487,T57.0X3D,"Toxic effect of arsenic and its compounds, assault, subs"
488,T57.0X3S,"Toxic effect of arsenic and its compounds, assault, sequela"
489,T57.0X4A,"Toxic effect of arsenic and its compounds, undet, init"
490,T57.0X4D,"Toxic effect of arsenic and its compounds, undet, subs"
491,T57.0X4S,"Toxic effect of arsenic and its compounds, undet, sequela"
492,T57.1X1A,"Toxic effect of phosphorus and its compounds, acc, init"
493,T57.1X1D,"Toxic effect of phosphorus and its compounds, acc, subs"
494,T57.1X1S,"Toxic effect of phosphorus and its compounds, acc, sequela"
495,T57.1X2A,"Toxic effect of phosphorus and its compnd, selfharm, init"
496,T57.1X2D,"Toxic effect of phosphorus and its compnd, selfharm, subs"
497,T57.1X2S,"Toxic effect of phosphorus and its compnd, slfhrm, sequela"
498,T57.1X3A,"Toxic effect of phosphorus and its compounds, assault, init"
499,T57.1X3D,"Toxic effect of phosphorus and its compounds, assault, subs"
500,T57.1X3S,"Toxic effect of phosphorus and its compnd, assault, sequela"
501,T57.1X4A,"Toxic effect of phosphorus and its compounds, undet, init"
502,T57.1X4D,"Toxic effect of phosphorus and its compounds, undet, subs"
503,T57.1X4S,"Toxic effect of phosphorus and its compounds, undet, sequela"
504,T57.2X1A,"Toxic effect of manganese and its compounds, acc, init"
505,T57.2X1D,"Toxic effect of manganese and its compounds, acc, subs"
506,T57.2X1S,"Toxic effect of manganese and its compounds, acc, sequela"
507,T57.2X2A,"Toxic effect of manganese and its compounds, selfharm, init"
508,T57.2X2D,"Toxic effect of manganese and its compounds, selfharm, subs"
509,T57.2X2S,"Toxic effect of manganese and its compnd, selfharm, sequela"
510,T57.2X3A,"Toxic effect of manganese and its compounds, assault, init"
511,T57.2X3D,"Toxic effect of manganese and its compounds, assault, subs"
512,T57.2X3S,"Toxic effect of manganese and its compnd, assault, sequela"
513,T57.2X4A,"Toxic effect of manganese and its compounds, undet, init"
514,T57.2X4D,"Toxic effect of manganese and its compounds, undet, subs"
515,T57.2X4S,"Toxic effect of manganese and its compounds, undet, sequela"
516,T57.3X1A,"Toxic effect of hydrogen cyanide, accidental, init"
517,T57.3X1D,"Toxic effect of hydrogen cyanide, accidental, subs"
518,T57.3X1S,"Toxic effect of hydrogen cyanide, accidental, sequela"
519,T57.3X2A,"Toxic effect of hydrogen cyanide, selfharm, init"
520,T57.3X2D,"Toxic effect of hydrogen cyanide, selfharm, subs"
521,T57.3X2S,"Toxic effect of hydrogen cyanide, selfharm, sequela"
522,T57.3X3A,"Toxic effect of hydrogen cyanide, assault, initial encounter"
523,T57.3X3D,"Toxic effect of hydrogen cyanide, assault, subs encntr"
524,T57.3X3S,"Toxic effect of hydrogen cyanide, assault, sequela"
525,T57.3X4A,"Toxic effect of hydrogen cyanide, undetermined, init encntr"
526,T57.3X4D,"Toxic effect of hydrogen cyanide, undetermined, subs encntr"
527,T57.3X4S,"Toxic effect of hydrogen cyanide, undetermined, sequela"
528,T57.8X1A,"Toxic effect of inorganic substances, accidental, init"
529,T57.8X1D,"Toxic effect of inorganic substances, accidental, subs"
530,T57.8X1S,"Toxic effect of inorganic substances, accidental, sequela"
531,T57.8X2A,"Toxic effect of inorganic substances, selfharm, init"
532,T57.8X2D,"Toxic effect of inorganic substances, selfharm, subs"
533,T57.8X2S,"Toxic effect of inorganic substances, selfharm, sequela"
534,T57.8X3A,"Toxic effect of oth inorganic substances, assault, init"
535,T57.8X3D,"Toxic effect of oth inorganic substances, assault, subs"
536,T57.8X3S,"Toxic effect of oth inorganic substances, assault, sequela"
537,T57.8X4A,"Toxic effect of oth inorganic substances, undetermined, init"
538,T57.8X4D,"Toxic effect of oth inorganic substances, undetermined, subs"
539,T57.8X4S,"Toxic effect of inorganic substances, undetermined, sequela"
540,T57.91XA,"Toxic effect of unsp inorganic substance, accidental, init"
541,T57.91XD,"Toxic effect of unsp inorganic substance, accidental, subs"
542,T57.91XS,"Toxic effect of unsp inorganic substance, acc, sequela"
543,T57.92XA,"Toxic effect of unsp inorganic substance, selfharm, init"
544,T57.92XD,"Toxic effect of unsp inorganic substance, selfharm, subs"
545,T57.92XS,"Toxic effect of unsp inorganic substance, selfharm, sequela"
546,T57.93XA,"Toxic effect of unsp inorganic substance, assault, init"
547,T57.93XD,"Toxic effect of unsp inorganic substance, assault, subs"
548,T57.93XS,"Toxic effect of unsp inorganic substance, assault, sequela"
549,T57.94XA,"Toxic effect of unsp inorganic substance, undetermined, init"
550,T57.94XD,"Toxic effect of unsp inorganic substance, undetermined, subs"
551,T57.94XS,"Toxic effect of unsp inorganic substance, undet, sequela"
552,T58.01XA,"Toxic effect of carb monx from mtr veh exhaust, acc, init"
553,T58.01XD,"Toxic effect of carb monx from mtr veh exhaust, acc, subs"
554,T58.01XS,"Toxic effect of carb monx from mtr veh exhaust, acc, sqla"
555,T58.02XA,"Toxic eff of carb monx from mtr veh exhaust, slfhrm, init"
556,T58.02XD,"Toxic eff of carb monx from mtr veh exhaust, slfhrm, subs"
557,T58.02XS,"Toxic eff of carb monx from mtr veh exhaust, slfhrm, sqla"
558,T58.03XA,"Toxic effect of carb monx from mtr veh exhaust, asslt, init"
559,T58.03XD,"Toxic effect of carb monx from mtr veh exhaust, asslt, subs"
560,T58.03XS,"Toxic effect of carb monx from mtr veh exhaust, asslt, sqla"
561,T58.04XA,"Toxic effect of carb monx from mtr veh exhaust, undet, init"
562,T58.04XD,"Toxic effect of carb monx from mtr veh exhaust, undet, subs"
563,T58.04XS,"Toxic effect of carb monx from mtr veh exhaust, undet, sqla"
564,T58.11XA,"Toxic effect of carb monx from utility gas, acc, init"
565,T58.11XD,"Toxic effect of carb monx from utility gas, acc, subs"
566,T58.11XS,"Toxic effect of carb monx from utility gas, acc, sequela"
567,T58.12XA,"Toxic effect of carb monx from utility gas, selfharm, init"
568,T58.12XD,"Toxic effect of carb monx from utility gas, selfharm, subs"
569,T58.12XS,"Toxic effect of carb monx from utility gas, slfhrm, sequela"
570,T58.13XA,"Toxic effect of carb monx from utility gas, assault, init"
571,T58.13XD,"Toxic effect of carb monx from utility gas, assault, subs"
572,T58.13XS,"Toxic effect of carb monx from utility gas, assault, sequela"
573,T58.14XA,"Toxic effect of carb monx from utility gas, undet, init"
574,T58.14XD,"Toxic effect of carb monx from utility gas, undet, subs"
575,T58.14XS,"Toxic effect of carb monx from utility gas, undet, sequela"
576,T58.2X1A,"Tox eff of carb monx fr incmpl combst dmst fuel, acc, init"
577,T58.2X1D,"Tox eff of carb monx fr incmpl combst dmst fuel, acc, subs"
578,T58.2X1S,"Tox eff of carb monx fr incmpl combst dmst fuel, acc, sqla"
579,T58.2X2A,"Tox eff of carb monx fr incmpl combst dmst fuel,slfhrm,init"
580,T58.2X2D,"Tox eff of carb monx fr incmpl combst dmst fuel,slfhrm,subs"
581,T58.2X2S,"Tox eff of carb monx fr incmpl combst dmst fuel,slfhrm,sqla"
582,T58.2X3A,"Tox eff of carb monx fr incmpl combst dmst fuel, asslt, init"
583,T58.2X3D,"Tox eff of carb monx fr incmpl combst dmst fuel, asslt, subs"
584,T58.2X3S,"Tox eff of carb monx fr incmpl combst dmst fuel, asslt, sqla"
585,T58.2X4A,"Tox eff of carb monx fr incmpl combst dmst fuel, undet, init"
586,T58.2X4D,"Tox eff of carb monx fr incmpl combst dmst fuel, undet, subs"
587,T58.2X4S,"Tox eff of carb monx fr incmpl combst dmst fuel, undet, sqla"
588,T58.8X1A,"Toxic effect of carb monx from oth source, accidental, init"
589,T58.8X1D,"Toxic effect of carb monx from oth source, accidental, subs"
590,T58.8X1S,"Toxic effect of carb monx from oth source, acc, sequela"
591,T58.8X2A,"Toxic effect of carb monx from oth source, selfharm, init"
592,T58.8X2D,"Toxic effect of carb monx from oth source, selfharm, subs"
593,T58.8X2S,"Toxic effect of carb monx from oth source, slfhrm, sequela"
594,T58.8X3A,"Toxic effect of carb monx from oth source, assault, init"
595,T58.8X3D,"Toxic effect of carb monx from oth source, assault, subs"
596,T58.8X3S,"Toxic effect of carb monx from oth source, assault, sequela"
597,T58.8X4A,"Toxic effect of carb monx from oth source, undet, init"
598,T58.8X4D,"Toxic effect of carb monx from oth source, undet, subs"
599,T58.8X4S,"Toxic effect of carb monx from oth source, undet, sequela"
600,T58.91XA,"Toxic effect of carb monx from unsp source, acc, init"
601,T58.91XD,"Toxic effect of carb monx from unsp source, acc, subs"
602,T58.91XS,"Toxic effect of carb monx from unsp source, acc, sequela"
603,T58.92XA,"Toxic effect of carb monx from unsp source, selfharm, init"
604,T58.92XD,"Toxic effect of carb monx from unsp source, selfharm, subs"
605,T58.92XS,"Toxic effect of carb monx from unsp source, slfhrm, sequela"
606,T58.93XA,"Toxic effect of carb monx from unsp source, assault, init"
607,T58.93XD,"Toxic effect of carb monx from unsp source, assault, subs"
608,T58.93XS,"Toxic effect of carb monx from unsp source, assault, sequela"
609,T58.94XA,"Toxic effect of carb monx from unsp source, undet, init"
610,T58.94XD,"Toxic effect of carb monx from unsp source, undet, subs"
611,T58.94XS,"Toxic effect of carb monx from unsp source, undet, sequela"
612,T59.0X1A,"Toxic effect of nitrogen oxides, accidental, init"
613,T59.0X1D,"Toxic effect of nitrogen oxides, accidental, subs"
614,T59.0X1S,"Toxic effect of nitrogen oxides, accidental, sequela"
615,T59.0X2A,"Toxic effect of nitrogen oxides, intentional selfharm, init"
616,T59.0X2D,"Toxic effect of nitrogen oxides, intentional selfharm, subs"
617,T59.0X2S,"Toxic effect of nitrogen oxides, selfharm, sequela"
618,T59.0X3A,"Toxic effect of nitrogen oxides, assault, initial encounter"
619,T59.0X3D,"Toxic effect of nitrogen oxides, assault, subs encntr"
620,T59.0X3S,"Toxic effect of nitrogen oxides, assault, sequela"
621,T59.0X4A,"Toxic effect of nitrogen oxides, undetermined, init encntr"
622,T59.0X4D,"Toxic effect of nitrogen oxides, undetermined, subs encntr"
623,T59.0X4S,"Toxic effect of nitrogen oxides, undetermined, sequela"
624,T59.1X1A,"Toxic effect of sulfur dioxide, accidental, init"
625,T59.1X1D,"Toxic effect of sulfur dioxide, accidental, subs"
626,T59.1X1S,"Toxic effect of sulfur dioxide, accidental, sequela"
627,T59.1X2A,"Toxic effect of sulfur dioxide, intentional selfharm, init"
628,T59.1X2D,"Toxic effect of sulfur dioxide, intentional selfharm, subs"
629,T59.1X2S,"Toxic effect of sulfur dioxide, selfharm, sequela"
630,T59.1X3A,"Toxic effect of sulfur dioxide, assault, initial encounter"
631,T59.1X3D,"Toxic effect of sulfur dioxide, assault, subs encntr"
632,T59.1X3S,"Toxic effect of sulfur dioxide, assault, sequela"
633,T59.1X4A,"Toxic effect of sulfur dioxide, undetermined, init encntr"
634,T59.1X4D,"Toxic effect of sulfur dioxide, undetermined, subs encntr"
635,T59.1X4S,"Toxic effect of sulfur dioxide, undetermined, sequela"
636,T59.2X1A,"Toxic effect of formaldehyde, accidental, init"
637,T59.2X1D,"Toxic effect of formaldehyde, accidental, subs"
638,T59.2X1S,"Toxic effect of formaldehyde, accidental, sequela"
639,T59.2X2A,"Toxic effect of formaldehyde, intentional selfharm, init"
640,T59.2X2D,"Toxic effect of formaldehyde, intentional selfharm, subs"
641,T59.2X2S,"Toxic effect of formaldehyde, intentional selfharm, sequela"
642,T59.2X3A,"Toxic effect of formaldehyde, assault, initial encounter"
643,T59.2X3D,"Toxic effect of formaldehyde, assault, subsequent encounter"
644,T59.2X3S,"Toxic effect of formaldehyde, assault, sequela"
645,T59.2X4A,"Toxic effect of formaldehyde, undetermined, init encntr"
646,T59.2X4D,"Toxic effect of formaldehyde, undetermined, subs encntr"
647,T59.2X4S,"Toxic effect of formaldehyde, undetermined, sequela"
648,T59.3X1A,"Toxic effect of lacrimogenic gas, accidental, init"
649,T59.3X1D,"Toxic effect of lacrimogenic gas, accidental, subs"
650,T59.3X1S,"Toxic effect of lacrimogenic gas, accidental, sequela"
651,T59.3X2A,"Toxic effect of lacrimogenic gas, selfharm, init"
652,T59.3X2D,"Toxic effect of lacrimogenic gas, selfharm, subs"
653,T59.3X2S,"Toxic effect of lacrimogenic gas, selfharm, sequela"
654,T59.3X3A,"Toxic effect of lacrimogenic gas, assault, initial encounter"
655,T59.3X3D,"Toxic effect of lacrimogenic gas, assault, subs encntr"
656,T59.3X3S,"Toxic effect of lacrimogenic gas, assault, sequela"
657,T59.3X4A,"Toxic effect of lacrimogenic gas, undetermined, init encntr"
658,T59.3X4D,"Toxic effect of lacrimogenic gas, undetermined, subs encntr"
659,T59.3X4S,"Toxic effect of lacrimogenic gas, undetermined, sequela"
660,T59.4X1A,"Toxic effect of chlorine gas, accidental, init"
661,T59.4X1D,"Toxic effect of chlorine gas, accidental, subs"
662,T59.4X1S,"Toxic effect of chlorine gas, accidental, sequela"
663,T59.4X2A,"Toxic effect of chlorine gas, intentional selfharm, init"
664,T59.4X2D,"Toxic effect of chlorine gas, intentional selfharm, subs"
665,T59.4X2S,"Toxic effect of chlorine gas, intentional selfharm, sequela"
666,T59.4X3A,"Toxic effect of chlorine gas, assault, initial encounter"
667,T59.4X3D,"Toxic effect of chlorine gas, assault, subsequent encounter"
668,T59.4X3S,"Toxic effect of chlorine gas, assault, sequela"
669,T59.4X4A,"Toxic effect of chlorine gas, undetermined, init encntr"
670,T59.4X4D,"Toxic effect of chlorine gas, undetermined, subs encntr"
671,T59.4X4S,"Toxic effect of chlorine gas, undetermined, sequela"
672,T59.5X1A,"Toxic eff of fluorine gas and hydrogen fluoride, acc, init"
673,T59.5X1D,"Toxic eff of fluorine gas and hydrogen fluoride, acc, subs"
674,T59.5X1S,"Toxic eff of fluorine gas and hydrogen fluoride, acc, sqla"
675,T59.5X2A,"Tox eff of fluorine gas and hydrogen fluoride, slfhrm, init"
676,T59.5X2D,"Tox eff of fluorine gas and hydrogen fluoride, slfhrm, subs"
677,T59.5X2S,"Tox eff of fluorine gas and hydrogen fluoride, slfhrm, sqla"
678,T59.5X3A,"Toxic eff of fluorine gas and hydrogen fluoride, asslt, init"
679,T59.5X3D,"Toxic eff of fluorine gas and hydrogen fluoride, asslt, subs"
680,T59.5X3S,"Toxic eff of fluorine gas and hydrogen fluoride, asslt, sqla"
681,T59.5X4A,"Toxic eff of fluorine gas and hydrogen fluoride, undet, init"
682,T59.5X4D,"Toxic eff of fluorine gas and hydrogen fluoride, undet, subs"
683,T59.5X4S,"Toxic eff of fluorine gas and hydrogen fluoride, undet, sqla"
684,T59.6X1A,"Toxic effect of hydrogen sulfide, accidental, init"
685,T59.6X1D,"Toxic effect of hydrogen sulfide, accidental, subs"
686,T59.6X1S,"Toxic effect of hydrogen sulfide, accidental, sequela"
687,T59.6X2A,"Toxic effect of hydrogen sulfide, selfharm, init"
688,T59.6X2D,"Toxic effect of hydrogen sulfide, selfharm, subs"
689,T59.6X2S,"Toxic effect of hydrogen sulfide, selfharm, sequela"
690,T59.6X3A,"Toxic effect of hydrogen sulfide, assault, initial encounter"
691,T59.6X3D,"Toxic effect of hydrogen sulfide, assault, subs encntr"
692,T59.6X3S,"Toxic effect of hydrogen sulfide, assault, sequela"
693,T59.6X4A,"Toxic effect of hydrogen sulfide, undetermined, init encntr"
694,T59.6X4D,"Toxic effect of hydrogen sulfide, undetermined, subs encntr"
695,T59.6X4S,"Toxic effect of hydrogen sulfide, undetermined, sequela"
696,T59.7X1A,"Toxic effect of carbon dioxide, accidental, init"
697,T59.7X1D,"Toxic effect of carbon dioxide, accidental, subs"
698,T59.7X1S,"Toxic effect of carbon dioxide, accidental, sequela"
699,T59.7X2A,"Toxic effect of carbon dioxide, intentional selfharm, init"
700,T59.7X2D,"Toxic effect of carbon dioxide, intentional selfharm, subs"
701,T59.7X2S,"Toxic effect of carbon dioxide, selfharm, sequela"
702,T59.7X3A,"Toxic effect of carbon dioxide, assault, initial encounter"
703,T59.7X3D,"Toxic effect of carbon dioxide, assault, subs encntr"
704,T59.7X3S,"Toxic effect of carbon dioxide, assault, sequela"
705,T59.7X4A,"Toxic effect of carbon dioxide, undetermined, init encntr"
706,T59.7X4D,"Toxic effect of carbon dioxide, undetermined, subs encntr"
707,T59.7X4S,"Toxic effect of carbon dioxide, undetermined, sequela"
708,T59.811A,"Toxic effect of smoke, accidental (unintentional), init"
709,T59.811D,"Toxic effect of smoke, accidental (unintentional), subs"
710,T59.811S,"Toxic effect of smoke, accidental (unintentional), sequela"
711,T59.812A,"Toxic effect of smoke, intentional selfharm, init encntr"
712,T59.812D,"Toxic effect of smoke, intentional selfharm, subs encntr"
713,T59.812S,"Toxic effect of smoke, intentional selfharm, sequela"
714,T59.813A,"Toxic effect of smoke, assault, initial encounter"
715,T59.813D,"Toxic effect of smoke, assault, subsequent encounter"
716,T59.813S,"Toxic effect of smoke, assault, sequela"
717,T59.814A,"Toxic effect of smoke, undetermined, initial encounter"
718,T59.814D,"Toxic effect of smoke, undetermined, subsequent encounter"
719,T59.814S,"Toxic effect of smoke, undetermined, sequela"
720,T59.891A,"Toxic effect of gases, fumes and vapors, accidental, init"
721,T59.891D,"Toxic effect of gases, fumes and vapors, accidental, subs"
722,T59.891S,"Toxic effect of gases, fumes and vapors, acc, sequela"
723,T59.892A,"Toxic effect of gases, fumes and vapors, selfharm, init"
724,T59.892D,"Toxic effect of gases, fumes and vapors, selfharm, subs"
725,T59.892S,"Toxic effect of gases, fumes and vapors, selfharm, sequela"
726,T59.893A,"Toxic effect of oth gases, fumes and vapors, assault, init"
727,T59.893D,"Toxic effect of oth gases, fumes and vapors, assault, subs"
728,T59.893S,"Toxic effect of gases, fumes and vapors, assault, sequela"
729,T59.894A,"Toxic effect of gases, fumes and vapors, undetermined, init"
730,T59.894D,"Toxic effect of gases, fumes and vapors, undetermined, subs"
731,T59.894S,"Toxic effect of gases, fumes and vapors, undet, sequela"
732,T59.91XA,"Toxic effect of unsp gases, fumes and vapors, acc, init"
733,T59.91XD,"Toxic effect of unsp gases, fumes and vapors, acc, subs"
734,T59.91XS,"Toxic effect of unsp gases, fumes and vapors, acc, sequela"
735,T59.92XA,"Toxic effect of unsp gases, fumes and vapors, slfhrm, init"
736,T59.92XD,"Toxic effect of unsp gases, fumes and vapors, slfhrm, subs"
737,T59.92XS,"Toxic effect of unsp gases, fumes and vapors, slfhrm, sqla"
738,T59.93XA,"Toxic effect of unsp gases, fumes and vapors, assault, init"
739,T59.93XD,"Toxic effect of unsp gases, fumes and vapors, assault, subs"
740,T59.93XS,"Toxic effect of unsp gases, fumes and vapors, asslt, sequela"
741,T59.94XA,"Toxic effect of unsp gases, fumes and vapors, undet, init"
742,T59.94XD,"Toxic effect of unsp gases, fumes and vapors, undet, subs"
743,T59.94XS,"Toxic effect of unsp gases, fumes and vapors, undet, sequela"
744,T60.0X1A,"Toxic effect of organophos and carbamate insect, acc, init"
745,T60.0X1D,"Toxic effect of organophos and carbamate insect, acc, subs"
746,T60.0X1S,"Toxic effect of organophos and carbamate insect, acc, sqla"
747,T60.0X2A,"Toxic eff of organophos and carbamate insect, slfhrm, init"
748,T60.0X2D,"Toxic eff of organophos and carbamate insect, slfhrm, subs"
749,T60.0X2S,"Toxic eff of organophos and carbamate insect, slfhrm, sqla"
750,T60.0X3A,"Toxic effect of organophos and carbamate insect, asslt, init"
751,T60.0X3D,"Toxic effect of organophos and carbamate insect, asslt, subs"
752,T60.0X3S,"Toxic effect of organophos and carbamate insect, asslt, sqla"
753,T60.0X4A,"Toxic effect of organophos and carbamate insect, undet, init"
754,T60.0X4D,"Toxic effect of organophos and carbamate insect, undet, subs"
755,T60.0X4S,"Toxic effect of organophos and carbamate insect, undet, sqla"
756,T60.1X1A,"Toxic effect of halogenated insecticides, accidental, init"
757,T60.1X1D,"Toxic effect of halogenated insecticides, accidental, subs"
758,T60.1X1S,"Toxic effect of halogenated insect, accidental, sequela"
759,T60.1X2A,"Toxic effect of halogenated insecticides, selfharm, init"
760,T60.1X2D,"Toxic effect of halogenated insecticides, selfharm, subs"
761,T60.1X2S,"Toxic effect of halogenated insecticides, selfharm, sequela"
762,T60.1X3A,"Toxic effect of halogenated insecticides, assault, init"
763,T60.1X3D,"Toxic effect of halogenated insecticides, assault, subs"
764,T60.1X3S,"Toxic effect of halogenated insecticides, assault, sequela"
765,T60.1X4A,"Toxic effect of halogenated insecticides, undetermined, init"
766,T60.1X4D,"Toxic effect of halogenated insecticides, undetermined, subs"
767,T60.1X4S,"Toxic effect of halogenated insect, undetermined, sequela"
768,T60.2X1A,"Toxic effect of insecticides, accidental, init"
769,T60.2X1D,"Toxic effect of insecticides, accidental, subs"
770,T60.2X1S,"Toxic effect of insecticides, accidental, sequela"
771,T60.2X2A,"Toxic effect of insecticides, intentional selfharm, init"
772,T60.2X2D,"Toxic effect of insecticides, intentional selfharm, subs"
773,T60.2X2S,"Toxic effect of insecticides, intentional selfharm, sequela"
774,T60.2X3A,"Toxic effect of other insecticides, assault, init encntr"
