,category,condition
91,T52.1X3D,"Toxic effect of benzene, assault, subsequent encounter"
92,T52.1X3S,"Toxic effect of benzene, assault, sequela"
93,T52.1X4A,"Toxic effect of benzene, undetermined, initial encounter"
94,T52.1X4D,"Toxic effect of benzene, undetermined, subsequent encounter"
95,T52.1X4S,"Toxic effect of benzene, undetermined, sequela"
96,T52.2X1A,"Toxic effect of homologues of benzene, accidental, init"
97,T52.2X1D,"Toxic effect of homologues of benzene, accidental, subs"
98,T52.2X1S,"Toxic effect of homologues of benzene, accidental, sequela"
99,T52.2X2A,"Toxic effect of homologues of benzene, selfharm, init"
100,T52.2X2D,"Toxic effect of homologues of benzene, selfharm, subs"
101,T52.2X2S,"Toxic effect of homologues of benzene, selfharm, sequela"
102,T52.2X3A,"Toxic effect of homologues of benzene, assault, init encntr"
103,T52.2X3D,"Toxic effect of homologues of benzene, assault, subs encntr"
104,T52.2X3S,"Toxic effect of homologues of benzene, assault, sequela"
105,T52.2X4A,"Toxic effect of homologues of benzene, undetermined, init"
106,T52.2X4D,"Toxic effect of homologues of benzene, undetermined, subs"
107,T52.2X4S,"Toxic effect of homologues of benzene, undetermined, sequela"
108,T52.3X1A,"Toxic effect of glycols, accidental (unintentional), init"
109,T52.3X1D,"Toxic effect of glycols, accidental (unintentional), subs"
110,T52.3X1S,"Toxic effect of glycols, accidental (unintentional), sequela"
111,T52.3X2A,"Toxic effect of glycols, intentional selfharm, init encntr"
112,T52.3X2D,"Toxic effect of glycols, intentional selfharm, subs encntr"
113,T52.3X2S,"Toxic effect of glycols, intentional selfharm, sequela"
114,T52.3X3A,"Toxic effect of glycols, assault, initial encounter"
115,T52.3X3D,"Toxic effect of glycols, assault, subsequent encounter"
116,T52.3X3S,"Toxic effect of glycols, assault, sequela"
117,T52.3X4A,"Toxic effect of glycols, undetermined, initial encounter"
118,T52.3X4D,"Toxic effect of glycols, undetermined, subsequent encounter"
119,T52.3X4S,"Toxic effect of glycols, undetermined, sequela"
120,T52.4X1A,"Toxic effect of ketones, accidental (unintentional), init"
121,T52.4X1D,"Toxic effect of ketones, accidental (unintentional), subs"
122,T52.4X1S,"Toxic effect of ketones, accidental (unintentional), sequela"
123,T52.4X2A,"Toxic effect of ketones, intentional selfharm, init encntr"
124,T52.4X2D,"Toxic effect of ketones, intentional selfharm, subs encntr"
125,T52.4X2S,"Toxic effect of ketones, intentional selfharm, sequela"
126,T52.4X3A,"Toxic effect of ketones, assault, initial encounter"
127,T52.4X3D,"Toxic effect of ketones, assault, subsequent encounter"
128,T52.4X3S,"Toxic effect of ketones, assault, sequela"
129,T52.4X4A,"Toxic effect of ketones, undetermined, initial encounter"
130,T52.4X4D,"Toxic effect of ketones, undetermined, subsequent encounter"
131,T52.4X4S,"Toxic effect of ketones, undetermined, sequela"
132,T52.8X1A,"Toxic effect of organic solvents, accidental, init"
133,T52.8X1D,"Toxic effect of organic solvents, accidental, subs"
134,T52.8X1S,"Toxic effect of organic solvents, accidental, sequela"
135,T52.8X2A,"Toxic effect of organic solvents, selfharm, init"
136,T52.8X2D,"Toxic effect of organic solvents, selfharm, subs"
137,T52.8X2S,"Toxic effect of organic solvents, selfharm, sequela"
138,T52.8X3A,"Toxic effect of other organic solvents, assault, init encntr"
139,T52.8X3D,"Toxic effect of other organic solvents, assault, subs encntr"
140,T52.8X3S,"Toxic effect of other organic solvents, assault, sequela"
141,T52.8X4A,"Toxic effect of oth organic solvents, undetermined, init"
142,T52.8X4D,"Toxic effect of oth organic solvents, undetermined, subs"
143,T52.8X4S,"Toxic effect of oth organic solvents, undetermined, sequela"
144,T52.91XA,"Toxic effect of unsp organic solvent, accidental, init"
145,T52.91XD,"Toxic effect of unsp organic solvent, accidental, subs"
146,T52.91XS,"Toxic effect of unsp organic solvent, accidental, sequela"
147,T52.92XA,"Toxic effect of unsp organic solvent, selfharm, init"
148,T52.92XD,"Toxic effect of unsp organic solvent, selfharm, subs"
149,T52.92XS,"Toxic effect of unsp organic solvent, selfharm, sequela"
150,T52.93XA,"Toxic effect of unsp organic solvent, assault, init encntr"
151,T52.93XD,"Toxic effect of unsp organic solvent, assault, subs encntr"
152,T52.93XS,"Toxic effect of unsp organic solvent, assault, sequela"
153,T52.94XA,"Toxic effect of unsp organic solvent, undetermined, init"
154,T52.94XD,"Toxic effect of unsp organic solvent, undetermined, subs"
155,T52.94XS,"Toxic effect of unsp organic solvent, undetermined, sequela"
156,T53.0X1A,"Toxic effect of carbon tetrachloride, accidental, init"
157,T53.0X1D,"Toxic effect of carbon tetrachloride, accidental, subs"
158,T53.0X1S,"Toxic effect of carbon tetrachloride, accidental, sequela"
159,T53.0X2A,"Toxic effect of carbon tetrachloride, selfharm, init"
160,T53.0X2D,"Toxic effect of carbon tetrachloride, selfharm, subs"
161,T53.0X2S,"Toxic effect of carbon tetrachloride, selfharm, sequela"
162,T53.0X3A,"Toxic effect of carbon tetrachloride, assault, init encntr"
163,T53.0X3D,"Toxic effect of carbon tetrachloride, assault, subs encntr"
164,T53.0X3S,"Toxic effect of carbon tetrachloride, assault, sequela"
165,T53.0X4A,"Toxic effect of carbon tetrachloride, undetermined, init"
166,T53.0X4D,"Toxic effect of carbon tetrachloride, undetermined, subs"
167,T53.0X4S,"Toxic effect of carbon tetrachloride, undetermined, sequela"
168,T53.1X1A,"Toxic effect of chloroform, accidental (unintentional), init"
169,T53.1X1D,"Toxic effect of chloroform, accidental (unintentional), subs"
170,T53.1X1S,"Toxic effect of chloroform, accidental, sequela"
171,T53.1X2A,"Toxic effect of chloroform, intentional selfharm, init"
172,T53.1X2D,"Toxic effect of chloroform, intentional selfharm, subs"
173,T53.1X2S,"Toxic effect of chloroform, intentional selfharm, sequela"
174,T53.1X3A,"Toxic effect of chloroform, assault, initial encounter"
175,T53.1X3D,"Toxic effect of chloroform, assault, subsequent encounter"
176,T53.1X3S,"Toxic effect of chloroform, assault, sequela"
177,T53.1X4A,"Toxic effect of chloroform, undetermined, initial encounter"
178,T53.1X4D,"Toxic effect of chloroform, undetermined, subs encntr"
179,T53.1X4S,"Toxic effect of chloroform, undetermined, sequela"
180,T53.2X1A,"Toxic effect of trichloroethylene, accidental, init"
181,T53.2X1D,"Toxic effect of trichloroethylene, accidental, subs"
182,T53.2X1S,"Toxic effect of trichloroethylene, accidental, sequela"
183,T53.2X2A,"Toxic effect of trichloroethylene, selfharm, init"
184,T53.2X2D,"Toxic effect of trichloroethylene, selfharm, subs"
185,T53.2X2S,"Toxic effect of trichloroethylene, selfharm, sequela"
186,T53.2X3A,"Toxic effect of trichloroethylene, assault, init encntr"
187,T53.2X3D,"Toxic effect of trichloroethylene, assault, subs encntr"
188,T53.2X3S,"Toxic effect of trichloroethylene, assault, sequela"
189,T53.2X4A,"Toxic effect of trichloroethylene, undetermined, init encntr"
190,T53.2X4D,"Toxic effect of trichloroethylene, undetermined, subs encntr"
191,T53.2X4S,"Toxic effect of trichloroethylene, undetermined, sequela"
192,T53.3X1A,"Toxic effect of tetrachloroethylene, accidental, init"
193,T53.3X1D,"Toxic effect of tetrachloroethylene, accidental, subs"
194,T53.3X1S,"Toxic effect of tetrachloroethylene, accidental, sequela"
195,T53.3X2A,"Toxic effect of tetrachloroethylene, selfharm, init"
196,T53.3X2D,"Toxic effect of tetrachloroethylene, selfharm, subs"
197,T53.3X2S,"Toxic effect of tetrachloroethylene, selfharm, sequela"
198,T53.3X3A,"Toxic effect of tetrachloroethylene, assault, init encntr"
199,T53.3X3D,"Toxic effect of tetrachloroethylene, assault, subs encntr"
200,T53.3X3S,"Toxic effect of tetrachloroethylene, assault, sequela"
201,T53.3X4A,"Toxic effect of tetrachloroethylene, undetermined, init"
202,T53.3X4D,"Toxic effect of tetrachloroethylene, undetermined, subs"
203,T53.3X4S,"Toxic effect of tetrachloroethylene, undetermined, sequela"
204,T53.4X1A,"Toxic effect of dichloromethane, accidental, init"
205,T53.4X1D,"Toxic effect of dichloromethane, accidental, subs"
206,T53.4X1S,"Toxic effect of dichloromethane, accidental, sequela"
207,T53.4X2A,"Toxic effect of dichloromethane, intentional selfharm, init"
208,T53.4X2D,"Toxic effect of dichloromethane, intentional selfharm, subs"
209,T53.4X2S,"Toxic effect of dichloromethane, selfharm, sequela"
210,T53.4X3A,"Toxic effect of dichloromethane, assault, initial encounter"
211,T53.4X3D,"Toxic effect of dichloromethane, assault, subs encntr"
212,T53.4X3S,"Toxic effect of dichloromethane, assault, sequela"
213,T53.4X4A,"Toxic effect of dichloromethane, undetermined, init encntr"
214,T53.4X4D,"Toxic effect of dichloromethane, undetermined, subs encntr"
215,T53.4X4S,"Toxic effect of dichloromethane, undetermined, sequela"
216,T53.5X1A,"Toxic effect of chlorofluorocarbons, accidental, init"
217,T53.5X1D,"Toxic effect of chlorofluorocarbons, accidental, subs"
218,T53.5X1S,"Toxic effect of chlorofluorocarbons, accidental, sequela"
219,T53.5X2A,"Toxic effect of chlorofluorocarbons, selfharm, init"
220,T53.5X2D,"Toxic effect of chlorofluorocarbons, selfharm, subs"
221,T53.5X2S,"Toxic effect of chlorofluorocarbons, selfharm, sequela"
222,T53.5X3A,"Toxic effect of chlorofluorocarbons, assault, init encntr"
223,T53.5X3D,"Toxic effect of chlorofluorocarbons, assault, subs encntr"
224,T53.5X3S,"Toxic effect of chlorofluorocarbons, assault, sequela"
225,T53.5X4A,"Toxic effect of chlorofluorocarbons, undetermined, init"
226,T53.5X4D,"Toxic effect of chlorofluorocarbons, undetermined, subs"
227,T53.5X4S,"Toxic effect of chlorofluorocarbons, undetermined, sequela"
228,T53.6X1A,"Toxic eff of halgn deriv of aliphatic hydrocrb, acc, init"
229,T53.6X1D,"Toxic eff of halgn deriv of aliphatic hydrocrb, acc, subs"
230,T53.6X1S,"Toxic eff of halgn deriv of aliphatic hydrocrb, acc, sqla"
231,T53.6X2A,"Tox eff of halgn deriv of aliphatic hydrocrb, slfhrm, init"
232,T53.6X2D,"Tox eff of halgn deriv of aliphatic hydrocrb, slfhrm, subs"
233,T53.6X2S,"Tox eff of halgn deriv of aliphatic hydrocrb, slfhrm, sqla"
234,T53.6X3A,"Toxic eff of halgn deriv of aliphatic hydrocrb, asslt, init"
235,T53.6X3D,"Toxic eff of halgn deriv of aliphatic hydrocrb, asslt, subs"
236,T53.6X3S,"Toxic eff of halgn deriv of aliphatic hydrocrb, asslt, sqla"
237,T53.6X4A,"Toxic eff of halgn deriv of aliphatic hydrocrb, undet, init"
238,T53.6X4D,"Toxic eff of halgn deriv of aliphatic hydrocrb, undet, subs"
239,T53.6X4S,"Toxic eff of halgn deriv of aliphatic hydrocrb, undet, sqla"
