,Synonyms
0,"['Body mass index less than 16.5', 'Body mass index less than 20', 'Decreased body mass index', 'Decreased body mass index', 'Finding of body mass index', 'Finding of body mass index']"
1,[]
2,[]
3,[]
4,[]
5,[]
6,[]
7,[]
8,[]
9,[]
10,[]
11,[]
12,[]
13,[]
14,[]
15,[]
16,[]
17,[]
18,[]
19,[]
20,[]
21,"['Body mass index 40+ - severely obese', 'Finding of body mass index', 'Increased body mass index']"
22,[]
23,[]
24,[]
25,[]
26,[]
27,[]
28,[]
29,[]
