,Synonyms
0,"['Louse-borne typhus', 'Typhus group rickettsial disease']"
1,"['Brill-Zinsser disease', 'Typhus group rickettsial disease']"
2,"['Murine typhus', 'Typhus group rickettsial disease']"
3,"['Infection caused by Orientia', 'Scrub typhus']"
4,['Typhus group rickettsial disease']
5,"['Eastern Rocky Mountain spotted fever', 'Rocky Mountain spotted fever', 'Western Rocky Mountain spotted fever']"
6,"['African tick bite fever', 'Boutonneuse fever', 'Old World tick typhus']"
7,['North Asian tick typhus']
8,['Queensland tick typhus']
9,"['Ehrlichia infection of the central nervous system', 'Human ehrlichiosis']"
10,"['Human ehrlichiosis', 'Human ehrlichiosis due to Ehrlichia chaffeensis']"
11,"['Anaplasmosis', 'Human anaplasmosis', 'Human anaplasmosis due to Anaplasma phagocytophilum', 'Human ehrlichiosis', 'Infection by Ehrlichia ewingii']"
12,['Far eastern spotted fever']
13,['Spotted fevers']
14,[]
15,"['Acute Q fever', 'Aseptic meningitis', 'Bacterial hepatitis', 'Bacterial osteomyelitis', 'Chronic Q fever', 'Infection caused by Coxiella', 'Pneumonia in Q fever', 'Q fever', 'Q fever aseptic meningitis', 'Q fever encephalitis', 'Q fever endocarditis', 'Q fever hepatitis', 'Q fever myocarditis', 'Q fever osteomyelitis', 'Q fever pericarditis']"
16,['Trench fever']
17,['Rickettsialpox']
18,"['Neorickettsiosis', 'Sennetsu fever']"
19,"['Bacillary angiomatosis', 'Elokomin fluke fever', 'Infection caused by Orientia', 'Neorickettsiosis', 'Pseudotyphus of California', 'Salmon poisoning disease']"
20,"['Disease caused by rickettsiae', 'Disease due to Rickettsia', 'Disease due to Rickettsiales', 'Encephalitis due to rickettsia', 'Myocarditis due to Genus Rickettsia', 'Rickettsial endocarditis', 'Rickettsial pneumonia']"
