,category,condition
96,X81.0XXA,"Selfharm by jumping or lying in front of mtr veh, init"
97,X81.0XXD,"Selfharm by jumping or lying in front of mtr veh, subs"
98,X81.0XXS,"Selfharm by jumping or lying in front of mtr veh, sequela"
99,X81.1XXA,"Slfhrm by jumping or lying in front of (subway) train, init"
100,X81.1XXD,"Slfhrm by jumping or lying in front of (subway) train, subs"
101,X81.1XXS,"Slfhrm by jumping or lying in front of train, sequela"
102,X81.8XXA,"Slfhrm by jumping or lying in front of moving object, init"
103,X81.8XXD,"Slfhrm by jumping or lying in front of moving object, subs"
104,X81.8XXS,"Slfhrm by jump or lying in front of moving object, sequela"
105,X82.0XXA,"Intentional collision of motor vehicle w mtr veh, init"
106,X82.0XXD,"Intentional collision of motor vehicle w mtr veh, subs"
107,X82.0XXS,"Intentional collision of motor vehicle w mtr veh, sequela"
108,X82.1XXA,"Intentional collision of motor vehicle w train, init encntr"
109,X82.1XXD,"Intentional collision of motor vehicle w train, subs encntr"
110,X82.1XXS,"Intentional collision of motor vehicle with train, sequela"
111,X82.2XXA,"Intentional collision of motor vehicle w tree, init encntr"
112,X82.2XXD,"Intentional collision of motor vehicle w tree, subs encntr"
113,X82.2XXS,"Intentional collision of motor vehicle with tree, sequela"
114,X82.8XXA,"Oth intentional selfharm by crashing of motor vehicle, init"
115,X82.8XXD,"Oth intentional selfharm by crashing of motor vehicle, subs"
116,X82.8XXS,"Oth selfharm by crashing of motor vehicle, sequela"
117,X83.0XXA,"Intentional selfharm by crashing of aircraft, init encntr"
118,X83.0XXD,"Intentional selfharm by crashing of aircraft, subs encntr"
119,X83.0XXS,"Intentional selfharm by crashing of aircraft, sequela"
120,X83.1XXA,"Intentional selfharm by electrocution, initial encounter"
121,X83.1XXD,"Intentional selfharm by electrocution, subsequent encounter"
122,X83.1XXS,"Intentional selfharm by electrocution, sequela"
123,X83.2XXA,"Intentional selfharm by exposure to extremes of cold, init"
124,X83.2XXD,"Intentional selfharm by exposure to extremes of cold, subs"
125,X83.2XXS,"Selfharm by exposure to extremes of cold, sequela"
126,X83.8XXA,"Intentional selfharm by other specified means, init encntr"
127,X83.8XXD,"Intentional selfharm by other specified means, subs encntr"
128,X83.8XXS,"Intentional selfharm by other specified means, sequela"
